FID,ASSETID,INST_YR,MATERIAL,WIDTH,OWNERSHIP,CLASS1,CLASS2,NAME1,NAME2,GlobalID,LIFESTATUS,Shape_len,Shape__Length
369,TR384,2007,Paved,2.5,Public,Recreational,Recreational,,,{3EEF191D-F5F0-4C31-89BA-860B8A4E203C},Active,,144.74363042426
370,TR385,2007,Gravel,2.5,Public,Recreational,Recreational,,,{4E1DD428-6B58-4DFC-9F69-2817CC258A87},Active,,446.77497693372
371,TR434,2007,Paved,2.5,Public,Recreational,Shortcut,,,{52227B19-BCAF-45CD-ADCF-58502500419E},Active,,23.7544340699021
372,TR386,2007,Paved,2.5,Public,Recreational,Recreational,,,{AD79EFB7-CB86-41CD-9D48-DA7987F0F7BE},Active,,160.75187231913
373,TR388,2007,Paved,2.5,Public,Recreational,Shortcut,,,{7190398A-F857-4222-8906-77CF24287A41},Active,,46.0575269726218
374,TR389,2007,Paved,2.5,Public,Recreational,Recreational,,,{E4FC134D-13A9-40DB-AB0C-CD125310A8C8},Active,,531.726864708834
375,TR395,2006,Paved,2.5,Public,Recreational,Recreational,,,{9B5CBB64-FC4A-4D78-B518-94B891B28560},Active,,22.7658806949082
376,TR512,2013,Paved,2.5,Public,Recreational,Shortcut,,,{EA588B1F-50B3-4192-8C28-CD9A0EDF3368},Active,,57.3259358675363
377,TR513,2013,Paved,2.5,Public,Recreational,Shortcut,,,{7CE16F9B-4C27-4B12-BEDB-BF542553C1CC},Active,,41.1716423473064
378,TR519,2014,Paved,2.5,Public,Commuter,Commuter,,,{771A3849-58D5-452D-AD52-480BCC9BF184},Active,,809.00274096411
379,TR366,1990,Gravel,,Public,Recreational,Recreational,,,{B6A60A60-FCE5-49A6-8662-F953FADBD24C},Active,,401.873659071776
380,TR525,2014,Paved,2.5,Public,Commuter,,,,{B64FA591-F208-46C5-9392-55729AC0717D},Active,,18.5781687956016
381,TR390,2006,Paved,2.5,Public,Recreational,Recreational,,,{3E3B2BE6-1FD9-4EF9-8F69-5D3D7311991B},Active,,952.597245083217
382,TR516,2013,Paved,2.5,Public,Commuter,Commuter,,,{41956333-46DB-41FE-BA62-579F2586344B},Active,,464.471845915757
383,TR520,2014,Paved,2.5,Public,Commuter,Commuter,,,{4EB8D761-C3C9-4D5B-9B92-865A03953B7A},Active,,324.793131428324
384,TR527,2014,Paved,2.5,Public,Commuter,,,,{D2A09130-4E46-4DB9-850C-89CF6C49FC55},Active,,54.0520079274709
385,TR524,2014,Paved,2.5,Public,Commuter,Commuter,,,{8E95C5EA-4789-4D9F-B7C3-6BC940BF19EC},Active,,236.944399233596
386,TR528,2014,Paved,2.5,Public,Commuter,Commuter,,,{65DA5F9B-87A8-4229-830A-02FA9DACEDA4},Active,,97.9226649364315
387,TR529,2014,Paved,2.5,Public,Commuter,Commuter,,,{CBC8BDA5-293A-4585-8F03-218107542BB2},Active,,45.7979639944461
388,TR531,,Paved,,Public,Recreational,Shortcut,,,{6C0CD485-F372-4AB8-849B-F77C6BBF9EF2},Active,,29.3588582244452
389,TR533,2002,Paved,,Public,Commuter,Commuter,Trans Canada Trail,,{B88CD472-5C6C-4C49-9A7A-A6B18BB22ED3},Active,,420.737754943932
390,TR348,2002,Paved,,Public,Commuter,Commuter,,,{D629FE57-3E47-4D12-97F0-CC7E7E5FE8B3},Active,,327.680357590105
391,TR518,2011,Gravel,2.5,Public,Recreational,Recreational,,,{52F02D8C-9F32-43E6-8FA1-E283FB9A1E64},Active,,204.70443232537
392,TR535,2014,Paved,2.5,Public,Recreational,Recreational,,,{154FB74F-024B-4B11-9F5B-99811FEA3530},Active,,58.195066842596
393,TR400,2009,Paved,2.5,Public,Commuter,Commuter,Cougar Creek Commuter,,{00693324-691E-4710-A2A1-A72F12D4F26D},Active,,713.139189814616
394,TR132,2008,Paved,1.5,Public,Commuter,Shortcut,,,{C64146DA-74C9-4F82-A969-EE1215C9E082},Active,,75.4466502841545
395,TR538,,Organic,,Public,Recreational,Recreational,,,{1D356AEE-AF8A-4157-8F19-86BE958C35D1},Active,,403.90219790681
396,TR416,2002,Paved,1.5,Public,Recreational,Shortcut,,,{954E6FB4-2661-4001-A6BE-0E882D1AB72B},Active,,86.7029638497859
397,TR532,2002,Paved,1.5,Public,Commuter,Commuter,Trans Canada Trail,,{2BE40D6A-4A5F-473A-8CA1-5E4CDA088E74},Active,,179.410587644079
398,TR099,2002,Gravel,3,Public,Recreational,Recreational,Trans Canada Trail,,{26921817-03B3-438A-A66B-C2324DB24D86},Active,,637.723738631792
399,TR228,2000,Paved,1.5,Public,Recreational,Shortcut,,,{2791BFFB-2BC5-4F29-8AC4-F2BBE6A4DAA0},Active,,25.7502354199559
400,TR536,2015,Paved,2.5,Public,Commuter,Commuter,Trans Canada Trail,,{118E2D9F-7E65-498F-A482-FBD7F1E840A8},Active,,65.5909277741784
401,TR477,,Gravel,1.5,Public,Recreational,Recreational,,,{F54AB6F7-2B36-4FC1-B59F-FFE50302BC7F},Active,,236.115632973231
402,TR539,2015,Paved,1.7,Public,Recreational,Recreational,,,{5D98A450-E92B-4911-9A9B-4FDE9EF918CD},Active,,67.3214361334221
403,TR537,2015,Paved,,Public,Recreational,,,,{7F791979-C83F-4B7D-9AF2-3EA9E34DE4B5},Active,,57.8293080686345
404,TR540,,Organic,,Public,Recreational,Recreational,Quarry Lake Dog Pond Trail,,{E9196D74-3145-462F-A263-D878B162AAFC},Active,,854.849179273231
405,TR543,2016,Asphalt,3.5,Public,Commuter,Commuter,Roundabout Pathways,,{1F46055F-A6EE-4A23-84A2-BECF60F7361D},Active,,49.8580906970922
406,TR544,2016,Asphalt,3.5,Public,Commuter,Commuter,Roundabout Pathways,,{CE078314-964E-43F9-A6D6-9CFC992B28EC},Active,,42.9199970120016
407,TR545,2016,Asphalt,3.5,Public,Commuter,Commuter,Roundabout Pathways,,{1B5D165A-E94A-48D2-9098-37723699A452},Active,,19.9508307763093
408,TR546,2016,Concrete,3.5,Public,Commuter,Commuter,Roundabout Pathways,,{89EF3EE0-667B-431A-A33A-0CF74DCD0CA8},Active,,67.5176248387282
409,TR547,2016,Concrete,3.5,Public,Commuter,Commuter,Roundabout Pathways,,{EA126A6D-30A1-489E-806F-B1CBF166D3F0},Active,,19.9875517478575
410,TR548,2016,Gravel,3.25,Public,Commuter,Commuter,Roundabout Pathways,,{5290A156-6D4F-4C91-98BB-C83CF80BA5F9},Active,,91.9533101085756
411,TR549,2016,Concrete,3,Public,Commuter,Commuter,Roundabout Pathways,,{39D39181-D1AB-4C5E-B13A-A761BA0F53FD},Active,,175.064600892521
412,TR550,2016,Concrete,3.5,Public,Commuter,Commuter,Roundabout Pathways,,{F574D422-2888-4B61-A054-D9E5FDB97A65},Active,,6.13086533421582
413,TR448,,Paved,2.5,Public,Recreational,RecreationalRecreational,,,{A6D931B9-4F1A-45E7-832F-1861CE2EEA2C},Active,,245.752624336083
414,TR551,2016,Asphalt,3.25,Public,Commuter,Commuter,Roundabout Pathways,,{0134C3A1-8C69-43ED-B4D7-140168675BF6},Active,,91.5673496860938
415,TR553,2017,Asphalt,2.5,Public,Commuter,Commuter,Trans Canada Trail,,{B5A52AE0-151F-46CB-9530-8B82640A5702},Active,,127.668731854288
416,TR554,2017,Asphalt,2.7,Public,Commuter,Commuter,,,{27696EAF-9AAE-42D4-AB91-B8535D96030B},Active,,111.760546364835
417,TR555,2017,Asphalt,1.5,Public,Commuter,Commuter,,,{4E0B0A7F-DFD0-4A43-B6EA-240B3BE897A5},Active,,111.728907158224
418,TR559,2017,Concrete,8.5,Public,Commuter,,,,{B2079261-602C-41E9-A9D8-C887B547EF8E},Active,,40.1140174787826
419,TR125,2002,Paved,1.5,Public,Recreational,Shortcut,,,{1B8E3958-FA56-4CA8-8A0C-00CB640ABC54},Active,,38.8172394565526
420,TR560,2017,Asphalt,2.5,Public,Commuter,,,,{D601FFDC-1CC5-466E-B908-866A524B42DF},Active,,55.5879797954883
421,TR561,2017,Gravel,4,Public,Commuter,,,,{EFFC6298-C625-4606-B536-8E6B6073B474},Active,,391.852046936764
