X,Y,FID,UnitNumber,AddressNum,StreetName,FullCivicA
-12841658.3786,6637155.1606,1659,,905,6TH AVENUE,905 6TH AVENUE
-12836838.5728,6629860.5622,1660,201,3000D,STEWART CREEK DRIVE,201-3000D STEWART CREEK DRIVE
-12840580.2806,6637448.0058,1661,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12836324.5329,6629718.6458,1662,303H,1101,THREE SISTERS PARKWAY,303H-1101 THREE SISTERS PARKWAY
-12838054.9617,6632060.9418,1663,,205A,CASALE PLACE,205A CASALE PLACE
-12841891.6182,6638912.5523,1664,68,1718,BOW VALLEY TRAIL,68-1718 BOW VALLEY TRAIL
-12840653.4478,6636193.2723,1665,109,905,SPRING CREEK DRIVE,109-905 SPRING CREEK DRIVE
-12841460.1673,6637818.6177,1666,,1200,RAILWAY AVENUE,1200 RAILWAY AVENUE
-12838053.6991,6635995.1809,1667,,309,CANYON CLOSE,309 CANYON CLOSE
-12842976.6072,6633680.6737,1668,,973,LAWRENCE GRASSI RIDGE,973 LAWRENCE GRASSI RIDGE
-12840578.5982,6635994.3398,1669,307,1315,SPRING CREEK GATE,307-1315 SPRING CREEK GATE
-12842158.217,6636363.327,1670,3,837,4TH STREET,3-837 4TH STREET
-12839945.3388,6636755.1332,1671,509,120,KANANASKIS WAY,509-120 KANANASKIS WAY
-12837738.52,6631060.5277,1672,322,80,DYRGAS GATE,322-80 DYRGAS GATE
-12840405.8939,6638157.5462,1673,203,1451B,PALLISER TRAIL,203-1451B PALLISER TRAIL
-12839901.953,6638894.4961,1674,,25,BLUE GROUSE RIDGE,25 BLUE GROUSE RIDGE
-12840379.6128,6639566.7194,1675,4,1,ASPEN GLEN,4-1 ASPEN GLEN
-12842612.7534,6633603.9025,1676,,923,LAWRENCE GRASSI RIDGE,923 LAWRENCE GRASSI RIDGE
-12843484.8903,6636277.4813,1677,,105,RUNDLE POINTE,105 RUNDLE POINTE
-12841713.8254,6636962.9289,1678,,710,7TH STREET,710 7TH STREET
-12839808.6222,6635938.0363,1679,316,190,KANANASKIS WAY,316-190 KANANASKIS WAY
-12836387.3764,6630076.0947,1680,704,102,STEWART CREEK RISE,704-102 STEWART CREEK RISE
-12841574.2,6636288.2194,1681,6,630,3RD STREET,6-630 3RD STREET
-12842146.9154,6636467.4737,1682,102,834,4TH STREET,102-834 4TH STREET
-12838206.1615,6632253.6869,1683,,155,CROSSBOW PLACE,155 CROSSBOW PLACE
-12843145.7057,6638679.1299,1684,19,1730,11TH AVENUE,19-1730 11TH AVENUE
-12839899.5413,6636356.5398,1685,301,107,MONTANE ROAD,301-107 MONTANE ROAD
-12842302.4999,6638286.9468,1686,,913,16TH STREET,913 16TH STREET
-12837620.1007,6631277.6326,1687,,125C,DYRGAS LANE,125C DYRGAS LANE
-12837760.796,6630905.7354,1688,,205,RIVA HEIGHTS,205 RIVA HEIGHTS
-12839570.218,6635739.671,1689,204,56,LINCOLN PARK,204-56 LINCOLN PARK
-12839661.5087,6637181.8829,1690,,217,COUGAR POINT ROAD,217 COUGAR POINT ROAD
-12838204.5295,6632351.4461,1691,,175,CROSSBOW PLACE,175 CROSSBOW PLACE
-12838994.3121,6636454.8869,1692,,309,PIONEER ROAD,309 PIONEER ROAD
-12841680.4722,6637070.3092,1693,,705,8TH (Main) STREET,705 8TH (Main) STREET
-12841157.1965,6637433.585,1694,,950,RAILWAY AVENUE,950 RAILWAY AVENUE
-12839985.1184,6635291.2497,1695,,106,BOW VALLEY TRAIL,106 BOW VALLEY TRAIL
-12837992.7249,6632228.6058,1696,215,150,CROSSBOW PLACE,215-150 CROSSBOW PLACE
-12840247.2066,6636956.1444,1697,113,304,OLD CANMORE ROAD,113-304 OLD CANMORE ROAD
-12840538.4667,6636215.1736,1698,408A,1012,SPRING CREEK DRIVE,408A-1012 SPRING CREEK DRIVE
-12843132.0732,6638526.7556,1699,202,1214,17TH STREET,202-1214 17TH STREET
-12843198.0266,6638301.9774,1700,,1233,16TH STREET,1233 16TH STREET
-12839988.1236,6636305.0874,1701,217,101,MONTANE ROAD,217-101 MONTANE ROAD
-12837709.4576,6631555.9956,1702,,135,KRIZAN BAY,135 KRIZAN BAY
-12842121.8569,6636533.1648,1703,7,833,5TH STREET,7-833 5TH STREET
-12839722.7384,6636167.2144,1704,102,173,KANANASKIS WAY,102-173 KANANASKIS WAY
-12839689.8458,6636258.0148,1705,126,170,KANANASKIS WAY,126-170 KANANASKIS WAY
-12842374.2722,6638462.4605,1706,,925,17TH STREET,925 17TH STREET
-12836017.2333,6629557.4835,1707,,457,STEWART CREEK CLOSE,457 STEWART CREEK CLOSE
-12839837.6129,6636014.8625,1708,105,191,KANANASKIS WAY,105-191 KANANASKIS WAY
-12838992.373,6639434.0316,1709,303,140,STONECREEK ROAD,303-140 STONECREEK ROAD
-12839770.7394,6636508.1496,1710,,160,KANANASKIS WAY,160 KANANASKIS WAY
-12837934.4414,6631434.7832,1711,,108A,DYRGAS GATE,108A DYRGAS GATE
-12841901.1577,6634084.0516,1712,,173,MCNEILL,173 MCNEILL
-12841234.6295,6637192.2221,1713,,909,RAILWAY AVENUE,909 RAILWAY AVENUE
-12841458.8501,6636871.1299,1714,,613,7TH STREET,613 7TH STREET
-12842014.6969,6637132.0222,1715,,820,8TH (Main) STREET,820 8TH (Main) STREET
-12838186.4892,6638121.8562,1716,,852,SILVERTIP HEIGHTS,852 SILVERTIP HEIGHTS
-12841091.8549,6636457.0598,1717,,442,4TH STREET,442 4TH STREET
-12840068.6741,6636679.7118,1718,2E,110,KANANASKIS WAY,2E-110 KANANASKIS WAY
-12841443.8785,6637679.6799,1719,,1160,RAILWAY AVENUE,1160 RAILWAY AVENUE
-12839988.1236,6636305.0874,1720,312,101,MONTANE ROAD,312-101 MONTANE ROAD
-12840863.6078,6637415.864,1721,126,1202,BOW VALLEY TRAIL,126-1202 BOW VALLEY TRAIL
-12842700.7059,6636048.7447,1722,220,200,THREE SISTERS DRIVE,220-200 THREE SISTERS DRIVE
-12838206.1615,6632253.6869,1723,,155,CROSSBOW PLACE,155 CROSSBOW PLACE
-12841539.8337,6633438.7198,1724,289,91B,THREE SISTERS DRIVE,289-91B THREE SISTERS DRIVE
-12839988.1236,6636305.0874,1725,,101,MONTANE ROAD,101 MONTANE ROAD
-12837992.7249,6632228.6058,1726,,150,CROSSBOW PLACE,150 CROSSBOW PLACE
-12837493.6144,6630662.2202,1727,131,104,ARMSTRONG PLACE,131-104 ARMSTRONG PLACE
-12839293.4162,6636625.2896,1728,306,1080A,COUGAR CREEK DRIVE,306-1080A COUGAR CREEK DRIVE
-12838602.4278,6639140.9627,1729,,112,STONECREEK PLACE,112 STONECREEK PLACE
-12838402.0756,6637424.9068,1730,,349,EAGLE HEIGHTS,349 EAGLE HEIGHTS
-12840580.2806,6637448.0058,1731,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12842036.8563,6636965.4366,1732,4,818,7TH STREET,4-818 7TH STREET
-12839436.9057,6636705.9718,1733,210,1080C,COUGAR CREEK DRIVE,210-1080C COUGAR CREEK DRIVE
-12841974.8677,6636969.9982,1734,212,810,7TH STREET,212-810 7TH STREET
-12838362.6947,6635539.0817,1735,,94,MORAINE ROAD,94 MORAINE ROAD
-12839816.6247,6636329.2337,1736,312,109,MONTANE ROAD,312-109 MONTANE ROAD
-12842468.4719,6637645.4845,1737,,929,13TH STREET,929 13TH STREET
-12839945.3388,6636755.1332,1738,219,120,KANANASKIS WAY,219-120 KANANASKIS WAY
-12841606.0388,6637867.5962,1739,,1304A,RAILWAY AVENUE,1304A RAILWAY AVENUE
-12841072.0336,6638293.8966,1740,,125,15TH STREET,125 15TH STREET
-12840453.3959,6637468.3138,1741,,901,MOUNTAIN STREET,901 MOUNTAIN STREET
-12837396.24,6630667.5963,1742,224,104,ARMSTRONG PLACE,224-104 ARMSTRONG PLACE
-12839586.8017,6636126.6191,1743,316,176,KANANASKIS WAY,316-176 KANANASKIS WAY
-12837366.5448,6634764.0503,1744,132,105,BOW MEADOWS CRESCENT,132-105 BOW MEADOWS CRESCENT
-12839770.7394,6636508.1496,1745,114,160,KANANASKIS WAY,114-160 KANANASKIS WAY
-12840710.3395,6638632.7052,1746,,200,PALLISER LANE,200 PALLISER LANE
-12841471.6292,6637460.9158,1747,7,1119,RAILWAY AVENUE,7-1119 RAILWAY AVENUE
-12843211.1356,6639118.2186,1748,,601,LARCH PLACE,601 LARCH PLACE
-12837840.961,6636746.0076,1749,,13,CANYON ROAD,13 CANYON ROAD
-12837241.4859,6635084.7878,1750,200,121        ,BOW MEADOWS CRESCENT     ,200-121 BOW MEADOWS CRESCENT
-12837953.4783,6634749.0309,1751,129,109,BOULDER CRESCENT,129-109 BOULDER CRESCENT
-12839722.7384,6636167.2144,1752,215,173,KANANASKIS WAY,215-173 KANANASKIS WAY
-12839695.3902,6635759.4608,1753,227,30,LINCOLN PARK,227-30 LINCOLN PARK
